2995 31367
459 better 18
460 dew 1
461 though 25
462 sure 10
463 local 1
464 people 9
465 thought 165
466 needless 1
467 temptations 1
468 walked 4
469 road 12
470 together 9
471 shack 12
472 through 26
473 open 14
474 door 6
475 leaned 15
476 wrapped 3
477 against 59
478 wall 5
479 beside 6
480 long 32
481 room 4
482 tough 1
483 budshields 1
484 royal 1
485 palm 2
486 called 9
487 guano 2
488 bed 16
489 table 6
490 chair 4
491 place 8
492 dirt 1
493 floor 2
494 cook 1
495 charcoal 1
496 walls 3
497 flattened 2
498 overlapping 1
499 leaves 1
500 sturdy 1
501 fibered 1
502 15 1
503 picture 2
504 sacred 1
505 heart 7
506 jesus 2
507 another 20
508 virgin 3
509 cobre 2
510 relics 1
511 wife 3
512 once 20
513 tinted 1
514 photograph 1
515 talcen 1
516 lonely 1
517 shelf 1
518 corner 3
519 clean 6
520 shirt 4
521 do 93
522 eat 45
523 pot 2
524 yellow 12
525 rice 4
526 make 36
527 fire 1
528 later 6
529 cold. 1
530 course. 1
531 remembered 4
532 sold 2
533 fiction 2
534 eighty-five 4
535 number 1
536 bring 20
537 dressed 2
538 thousand 3
539 pounds 4
540 ell 1
541 sit 3
542 doorway 1
543 i6 1
544 yesterday 4
545 paper 3
546 read 2
547 baseball. 2
548 whether 2
549 perico 1
550 gave 6
551 hodega 1
552 explained 1
553 keep 26
554 yours 1
555 share 1
556 morning 13
557 yankees 4
558 lose. 1
559 fear 7
560 indians 2
561 cleveland. 2
562 faith 1
563 son 1
564 great 64
565 dimaggio. 1
566 both 15
567 tigers 1
568 detroit 2
569 careful 3
570 even 22
571 reds 1
572 cincin- 1
573 nati 1
574 white 12
575 sox 1
576 chicago. 1
577 study 1
578 back. 1
579 should 22
580 buy 5
581 terminal 1
582 lot- 1
583 tery 1
584 eighty-fifth 1
585 day. 1
586 record 1
587 17 1
588 happen 3
589 twice 4
590 find 5
591 order 4
592 one. 1
593 sheet 6
594 dollars 2
595 half 13
596 borrow 4
597 easy 6
598 half. 1
599 perhaps 17
600 beg. 1
601 warm 3
602 september. 1
603 month 2
604 anyone 4
605 fisherman 7
606 may. 1
607 asleep 10
608 army 1
609 blanket 7
610 spread 9
611 shoulders 20
612 powerful 1
613 although 11
614 very 35
615 creases 1
616 head 61
617 fallen 1
618 forward 8
619 times 11
620 patches 3
621 faded 1
622 different 3
623 shades 1
624 by 29
625 i8 1
626 closed 7
627 life 6
628 newspaper 4
629 lay 12
630 knees 5
631 weight 16
632 arm 12
633 held 25
634 evening 4
635 barefooted 1
636 wake 7
637 hand 89
638 opened 4
639 moment 9
640 coming 14
641 way 20
642 away 20
643 smiled 1
644 got 6
645 supper 1
646 sup- 1
647 per. 1
648 m 7
649 hungry. 1
650 eat. 2
651 getting 7
652 folding 1
653 started 23
654 fold 1
655 eating 9
656 while 15
657 alive. 1
658 live 4
659 time 45
660 care 6
661 yourself 5
662 black 5
663 beans 1
664 fried 1
665 bananas 1
666 stew 2
667 19 1
668 two-decker 1
669 metal 1
670 container 2
671 sets 3
672 knives 1
673 forks 1
674 spoons 1
675 pocket 2
676 nap- 1
677 kin 1
678 set 7
679 'who 1
680 martin 1
681 owner. 1
682 thanked 1
683 don 15
684 need 7
685 give 9
686 belly 4
687 meat 14
688 has 27
689 done 7
690 more 60
691 than 30
692 so. 1
693 helly 1
694 thoughtful 1
695 us. 1
696 sent 3
697 beers. 1
698 cans 3
699 best. 1
700 bottles 1
701 hatuey 1
702 bottles. 1
703 kind 6
704 asking 2
705 gently 9
706 wished 3
707 until 21
708 ready. 1
709 20 2
710 ready 7
711 needed 3
712 wash. 1
713 wash 1
714 village 2
715 water 102
716 supply 1
717 streets 1
718 here 12
719 soap 1
720 towel 1
721 thoughtless 1
722 jacket 1
723 winter 2
724 sort 3
725 shoes 1
726 excellent 4
727 american 1
728 league 2
729 happily 2
730 lost 5
731 means 4
732 nothing 27
733 dimaggio 6
734 him- 4
735 self 5
736 again. 2
737 team. 1
738 naturally 1
739 makes 6
740 difference 5
741 brooklyn 2
742 philadelphia 1
743 dick 1
744 sisler 2
745 drives 1
746 park. 1
747 ever 12
748 hits 1
749 long- 1
750 est 1
751 ball 1
752 seen. 1
753 ter- 1
754 21 2
755 race 2
756 wanted 4
757 fishing 4
758 timid 1
759 ask 3
760 timid. 1
761 mistake 1
762 might 15
763 our 14
764 lives. 1
765 s.ay 1
766 fisher- 4
767 maybe 19
768 poor 2
769 understand. 1
770 playing 2
771 leagues 3
772 age 4
773 square 1
774 rigged 3
775 ship 3
776 africa 4
777 lions 9
778 beaches 4
779 evening. 1
780 talk 8
781 john 1
782 ] 1
783 mcgraw. 1
784 jota 1
785 j 2
786 sometimes 13
787 rough 2
788 harsh-spoken 1
789 difficult 4
790 drinking 1
791 mind 1
792 horses 3
793 least 2
794 lists 1
795 22 1
796 frequently 1
797 names 2
798 telephone/ 1
799 manager 2
800 thinks 1
801 greatest. 1
802 most 7
803 durocher 1
804 continued 2
805 year 2
806 greatest 3
807 man- 1
808 ager. 1
809 luque 1
810 mike 1
811 gonzalezl^ 1
812 equal. 1
813 best 3
814 you. 5
815 better. 1
816 que 2
817 va 2
818 happy 5
819 prove 2
820 wrong. 1
821 say. 1
822 tricks 1
823 resolution. 1
824 ought 1
825 things 14
826 terrace. 1
827 23 1
828 night 30
829 morning. 1
830 alarm 2
831 clock 3
832 early 9
833 longer 5
834 young 3
835 boys 1
836 sleep 19
837 late 6
838 hard. 1
839 waken 2
840 time. 1
841 inferior. 1
842 know. 1
843 eaten 4
844 light 22
845 trousers 9
846 dark 42
847 rolled 5
848 pillow 2
849 putting 3
850 inside 9
851 himself 33
852 slept 7
853 newspapers 3
854 covered 5
855 springs 1
856 short 4
857 dreamed 6
858 golden 3
859 hurt 14
860 high 17
861 capes 1
862 mountains 3
863 lived 2
864 dreams 1
865 heard 10
866 surf 1
867 roar 1
868 saw 46
869 native 1
870 boats 11
871 24 1
872 riding 1
873 smelled 4
874 tar 1
875 oakum 1
876 deck 1
877 land 12
878 usually 3
879 woke 6
880 tonight 3
881 dream 12
882 dreaming 2
883 peaks 1
884 islands 2
885 rising 7
886 harbours 1
887 roadsteads 1
888 canary 1
889 storms 1
890 nor 21
891 women 2
892 occurrences 1
893 fights 1
894 contests 1
895 strength 18
896 places 1
897 beach 4
898 played 2
899 cats 1
900 dusk 1
901 simply 2
902 moon 12
903 unrolled 1
904 urinated 1
905 outside 3
906 shivering 5
907 cold 10
908 soon 12
909 rowing 3
910 un- 3
911 locked 1
912 quietly 3
913 25 1
914 bare 2
915 feet 13
916 cot 1
917 clearly 3
918 dying 1
919 hold 12
920 foot 9
921 turned 15
922 nodded 1
923 sitting 3
924 pulled 17
925 sleepy 1
926 sorry 10
927 '' 72
928 `` 7
929 barefoot 1
930 moving 9
931 carrying 2
932 masts 1
933 reached 10
934 rolls 1
935 line 138
936 basket 2
937 garf 1
938 coffee 9
939 condensed 1
940 milk 2
941 served 1
942 26 1
943 waking 2
944 hard 14
945 manolin 2
946 feel 23
947 today. 1
948 sar- 2
949 dines 2
950 wants 1
951 any- 2
952 thing. 1
953 're 3
954 old. 1
955 right 33
956 credit 1
957 here. 1
958 bare-footed 1
959 coral 2
960 rocks 2
961 stored 1
962 drank 4
963 slowly 26
964 bored 1
965 lunch 1
966 bottle 5
967 trail 5
968 pebbled 1
969 sand 2
970 lifted 7
971 slid 6
972 her 30
973 w^a- 1
974 ter 4
975 27 1
976 luck 12
977 fitted 1
978 rope 12
979 lashings 1
980 oars 13
981 onto 14
982 thole 1
983 pins 1
984 leaning 3
985 thrust 1
986 blades 1
987 began 11
988 dip 5
989 push 1
990 below 7
991 hills 3
992 someone 3
993 speak 3
994 silent 1
995 apart 1
996 mouth 14
997 headed 4
998 part 12
999 ocean 17
1000 hoped 3
1001 behind 9
1002 rowed 7
1003 phosphorescence 4
1004 gulf 5
1005 weed 7
1006 be- 7
1007 cause 3
1008 sudden 4
1009 seven 1
1010 hundred 12
1011 fath- 1
1012 oms 1
1013 sorts 1
1014 congregated 1
1015 swirl 2
1016 steep 1
1017 concentrations 1
1018 shrimp 1
1019 bait 17
1020 schools 3
1021 squid 1
1022 28 1
1023 deepest 2
1024 holes 1
1025 rose 14
1026 close 7
1027 surface 14
1028 wandering 1
1029 fed 2
1030 com- 3
1031 trembling 1
1032 sound 3
1033 flying 21
1034 hissing 2
1035 stiff 3
1036 wings 7
1037 soared 1
1038 darkness 5
1039 fond 1
1040 princi- 1
1041 pal 1
1042 friends 3
1043 birds 7
1044 especially 2
1045 small 23
1046 delicate 5
1047 terns 1
1048 al- 5
1049 ways 2
1050 looking 7
1051 finding 2
1052 harder 3
1053 robber 1
1054 fine 3
1055 swallows 1
1056 cruel 3
1057 she 9
1058 beautiful 8
1059 comes 6
1060 suddenly 3
1061 fly 3
1062 dipping 1
1063 hunting 1
1064 voices 1
1065 del- 1
1066 icately 1
1067 la 1
1068 mar 2
1069 call 1
1070 spanish 1
1071 love 6
1072 say 11
1073 woman 3
1074 younger 1
1075 buoys 1
1076 floats 1
1077 motorboats 1
1078 29 1
1079 money 2
1080 el 2
1081 masculine 1
1082 contestant 1
1083 enemy 2
1084 feminine 1
1085 some- 4
1086 thing 14
1087 withheld 1
1088 favours 1
1089 wild 4
1090 wicked 1
1091 affects 1
1092 steadily 16
1093 effort 5
1094 since 14
1095 kept 8
1096 within 1
1097 speed 7
1098 flat 3
1099 occasional 1
1100 swirls 1
1101 letting 1
1102 third 5
1103 w'ork 1
1104 further 4
1105 hour 7
1106 worked 9
1107 wells 1
1108 111 1
1109 bonito 5
1110 albacore 3
1111 drifting 1
1112 fathoms 7
1113 second 5
1114 seventy-five 1
1115 fourth 1
1116 dowm 1
1117 blue 14
1118 30 1
1119 twenty-five 1
1120 hung 5
1121 shank 2
1122 tied 4
1123 sewed 1
1124 solid 4
1125 projecting 4
1126 curve 1
1127 point 11
1128 sardine 3
1129 hooked 13
1130 half-gar- 1
1131 steel 1
1132 smelling 2
1133 tasting 1
1134 given 2
1135 tunas 1
1136 albacores 1
1137 plummets 1
1138 runner 1
1139 jack 1
1140 condition 1
1141 scent 9
1142 attractiveness 1
1143 thick 1
1144 pencil 2
1145 looped 1
1146 green-sapped 1
1147 stick 5
1148 any 24
1149 pull 24
1150 touch 4
1151 forty- 1
1152 fathom 1
1153 coils 14
1154 fast 37
1155 spare 1
1156 necessary 4
1157 watched 25
1158 sticks 2
1159 straight 14
1160 proper 2
1161 rise 3
1162 thinly 1
1163 low 6
1164 toward 8
1165 shore 4
1166 brighter 1
1167 glare 3
1168 clear 16
1169 sharply 2
1170 look- 1
